NOM;DOSAGE1;FORME
ORACILLINE;1;COMPRIME SECABLE
TROXINE;300;COMPRIME PELLICULE
AVANDAMET;1 / 500;COMPRIME PELLICULE
AVANDAMET;1 / 500;COMPRIME PELLICULE
ALVITYL;;COMPRIME ENROBE
MUCOSTEINE;5;SIROP
OTRIVINE;0.1;SOLUTION POUR PULVERISATION NASALE
REVOLADE 50MG;50;COMPRIME PELLICULE
BACTRIM;400 / 80;SOLUTION POUR PERFUSION
TRIGYNON;0.05 / 0.03;COMPRIME ENROBE
MENCEVAX AC;;PREPARATION INJECTABLE
TENOCAN;100;COMPRIME
THEOSTAT LP;100;COMPRIME SECABLE LP
DICLOMAX;75;GELULE LP
DIPICOR;10;COMPRIME
HYZAAR;50 / 12.5;COMPRIME ENROBE
ALFAPROXINE;500;COMPRIME PELLICULE
ALFAPROXINE;500;COMPRIME PELLICULE
CLARINASE REBETABS;60 / 5;COMPRIME ENROBE LM
MIVACRON;20;SOLUTION INJECTABLE
URBANYL;10;COMPRIME SECABLE
NEOCLAV 100MG/12.5MG/ML ENFANT;100 / 12.5;POUDRE POUR SUSPENSION BUVABLE
NAVELBINE;10;SOLUTION INJECTABLE
SAVARINE;200 / 100;COMPRIME PELLICULE
TETRALYSAL;150;GELULE
AMOXIL;250;POUDRE POUR SUSPENSION BUVABLE
LEVITRA;20;COMPRIME PELLICULE
BUSCOPAN;20;SOLUTION INJECTABLE
BUSCOPAN;20;SOLUTION INJECTABLE
CLAMOXYL;500;COMPRIME DISPERSIBLE
CALCIUM ALKO;0.87;SOLUTION INJECTABLE
AZ;250;GELULE
BACTROBAN;2;POMMADE
SPIBAC 3 MUI;3;COMPRIME PELLICULE
ROVAMYCINE;3;COMPRIME PELLICULE
RANIMAT;300;COMPRIME
ANALGYL;200;COMPRIME ENROBE
HYPRIL;20 / 12.5;COMPRIME SECABLE
NEOCLAV;500 / 62.5;POUDRE POUR SUSPENSION BUVABLE
AMUCHIN 10;0.11 / 1.8;SOLUTION POUR APPLICATION LOCALE
ERBITUX 5 MG/ML;5;SOLUTION POUR PERFUSION
ERBITUX 5 MG/ML;5;SOLUTION POUR PERFUSION
VERASKIN;4;GEL
ZOVAS;20;COMPRIME ENROBE SECABLE
XYLONOR SPRAY;15 / 0.15;SOLUTION DENTAIRE
XYLONOR SPRAY;15 / 0.15;SOLUTION DENTAIRE
SURGAM;200;COMPRIME SECABLE
ASTAPH;250;POUDRE POUR SUSPENSION BUVABLE
TASIGNA 200MG;200;CAPSULE
TASIGNA 200MG;200;CAPSULE
AMOXIL;500;GELULE
GLYCEMAT;80;COMPRIME SECABLE
FLAGYL;4;SUSPENSION BUVABLE
DAONIL;5;COMPRIME SECABLE
PEVARYL;1;CREME
ALER Z;10;COMPRIME PELLICULE
ARTOTEC;50 / 0.2;COMPRIME GASTRO-RESISTANT
ASEPSIL 10;10;SOLUTION POUR APPLICATION LOCALE
CURAM 1G/125MG;1 / 125;POUDRE POUR SUSPENSION BUVABLE
VITAMINE C;1;COMPRIME EFFERVESCENT
